('PRT', 'CONJ', '.') = 1
('ADJ', 'DET', 'PRT') = 1
('ADJ', 'PRON', 'DET') = 1
('X', 'ADP', 'VERB') = 1
('X', 'X', 'DET') = 1
('ADV', 'ADJ', 'X') = 1
('CONJ', 'PRON', 'PRON') = 1
('NUM', 'PRON', 'PRON') = 1
('NOUN', 'ADJ', 'X') = 1
('NUM', 'X', '.') = 1
('NUM', 'ADV', 'NUM') = 1
('X', 'VERB', 'ADJ') = 1
('NOUN', 'VERB', 'X') = 1
('NOUN', 'DET', 'CONJ') = 1
('ADP', 'ADP', 'CONJ') = 1
('X', 'PRON', 'VERB') = 1
('NUM', 'ADJ', 'ADV') = 1
('NUM', 'CONJ', '.') = 1
('NUM', 'DET', 'NUM') = 1
('VERB', 'X', 'DET') = 1
('PRT', 'ADP', 'X') = 1
('DET', 'ADP', 'X') = 1
('X', 'ADV', 'ADP') = 1
('ADJ', 'PRON', 'PRT') = 1
('NUM', 'PRON', '.') = 1
('PRT', 'PRON', 'ADV') = 1
('X', '.', 'ADV') = 1
('PRON', 'NUM', 'DET') = 1
('NUM', 'DET', 'PRON') = 1
('DET', 'CONJ', '.') = 1
('NUM', 'PRON', 'ADV') = 1
('DET', 'PRT', 'CONJ') = 1
('VERB', 'X', 'VERB') = 1
('NUM', 'PRON', 'NOUN') = 1
('PRT', 'DET', 'X') = 1
('DET', 'PRON', 'NOUN') = 1
('NUM', 'PRT', 'PRT') = 1
('NOUN', 'NUM', 'PRON') = 1
('', 'X', 'CONJ') = 1
('X', 'ADV', 'DET') = 1
('NUM', 'PRON', 'DET') = 2
('.', 'X', 'VERB') = 2
('PRT', 'NUM', 'NUM') = 2
('DET', 'NUM', 'PRT') = 2
('ADJ', 'PRT', 'PRT') = 2
('ADV', 'DET', 'X') = 2
('PRT', 'PRON', 'NOUN') = 2
('ADJ', 'DET', 'DET') = 2
('', 'ADJ', 'DET') = 2
('PRON', 'ADJ', 'DET') = 2
('DET', 'CONJ', 'PRON') = 2
('NOUN', 'NOUN', 'X') = 2
('DET', 'DET', 'DET') = 2
('ADV', 'NUM', 'PRT') = 2
('NOUN', 'ADJ', 'PRON') = 2
('ADJ', 'ADV', 'NUM') = 2
('ADP', 'CONJ', 'PRT') = 2
('PRT', 'NUM', 'ADJ') = 2
('PRT', 'ADJ', 'VERB') = 2
('', 'PRON', 'ADJ') = 2
('X', 'ADP', 'ADJ') = 2
('DET', 'ADV', 'DET') = 2
('CONJ', 'PRT', 'CONJ') = 2
('ADJ', 'DET', 'ADV') = 2
('ADJ', 'NUM', 'ADV') = 2
('X', 'CONJ', 'NOUN') = 2
('CONJ', 'DET', 'CONJ') = 2
('NOUN', 'X', 'VERB') = 2
('ADV', 'NUM', 'DET') = 2
('CONJ', 'NOUN', 'X') = 2
('DET', 'X', 'ADJ') = 2
('DET', 'CONJ', 'NOUN') = 2
('NUM', 'ADJ', 'DET') = 2
('DET', 'PRT', 'NUM') = 2
('X', 'ADP', 'PRON') = 2
('NOUN', 'DET', 'PRT') = 2
('DET', 'DET', '.') = 2
('X', 'VERB', '.') = 2
('DET', 'PRON', 'ADP') = 2
('CONJ', 'X', '.') = 2
('.', 'X', 'CONJ') = 2
('PRON', 'NOUN', 'DET') = 2
('PRT', 'NUM', 'ADV') = 2
('NUM', 'ADJ', 'PRT') = 2
('X', 'CONJ', 'VERB') = 2
('PRON', 'PRON', 'ADP') = 2
('ADP', 'X', 'CONJ') = 2
('', 'DET', 'CONJ') = 2
('X', 'ADJ', 'NOUN') = 2
('NUM', 'PRT', 'NOUN') = 2
('ADJ', 'NUM', 'PRT') = 2
('.', 'CONJ', 'X') = 2
('ADJ', 'VERB', 'NUM') = 2
('PRON', 'NUM', '.') = 2
('X', 'NOUN', 'NOUN') = 2
('X', 'CONJ', 'PRON') = 2
('PRON', 'CONJ', 'ADJ') = 2
('DET', 'DET', 'X') = 2
('NUM', 'DET', 'ADV') = 2
('VERB', 'X', 'ADP') = 2
('', 'NOUN', 'X') = 2
('X', 'X', 'ADV') = 2
('PRON', 'PRON', 'ADV') = 2
('X', 'NOUN', 'ADV') = 2
('ADJ', 'PRON', 'PRON') = 2
('PRT', 'ADP', 'CONJ') = 2
('NOUN', 'CONJ', 'CONJ') = 2
('', 'X', 'NOUN') = 2
('NUM', 'PRT', '.') = 3
('.', 'NUM', 'PRON') = 3
('', 'PRT', 'NUM') = 3
('', 'ADJ', 'PRON') = 3
('DET', 'PRT', 'PRT') = 3
('DET', 'CONJ', 'ADP') = 3
('NOUN', 'PRT', 'PRT') = 3
('NUM', 'NUM', 'DET') = 3
('.', 'ADJ', 'PRON') = 3
('NOUN', 'NUM', 'NUM') = 3
('NUM', 'NUM', 'ADJ') = 3
('NOUN', 'NUM', 'PRT') = 3
('NOUN', 'DET', 'X') = 3
('', 'PRON', 'ADP') = 3
('CONJ', 'X', 'VERB') = 3
('NUM', 'NUM', 'VERB') = 3
('ADJ', 'PRT', 'ADJ') = 3
('ADJ', 'ADJ', 'DET') = 3
('DET', 'ADV', 'NUM') = 3
('.', 'NOUN', 'X') = 3
('ADP', 'PRON', 'NUM') = 3
('NUM', 'DET', 'CONJ') = 3
('.', 'ADJ', 'DET') = 3
('PRON', 'PRT', 'PRON') = 3
('ADV', 'PRON', 'DET') = 3
('', 'PRT', 'CONJ') = 3
('PRON', 'NOUN', 'ADJ') = 3
('X', 'VERB', 'PRT') = 3
('', 'NUM', 'ADV') = 3
('X', 'ADV', 'VERB') = 3
('PRON', 'NUM', 'ADJ') = 3
('PRON', 'PRON', 'CONJ') = 3
('ADJ', 'NUM', 'DET') = 3
('ADV', 'PRT', 'PRON') = 3
('DET', 'NUM', 'DET') = 3
('ADJ', 'X', 'VERB') = 3
('X', '.', 'NUM') = 3
('DET', 'PRON', 'PRON') = 3
('X', 'VERB', 'NOUN') = 3
('NUM', 'VERB', 'PRON') = 3
('X', 'DET', 'NOUN') = 3
('DET', 'DET', 'ADV') = 3
('PRT', 'PRT', 'ADJ') = 3
('ADJ', 'ADJ', 'PRT') = 3
('CONJ', '.', 'CONJ') = 3
('DET', 'X', 'PRT') = 3
('CONJ', 'CONJ', 'VERB') = 3
('PRT', 'PRT', 'CONJ') = 3
('PRON', 'ADV', 'NUM') = 3
('NUM', 'ADV', 'NOUN') = 3
('NOUN', 'PRON', 'CONJ') = 3
('CONJ', 'PRON', 'NOUN') = 3
('PRT', 'PRON', 'PRON') = 3
('X', 'CONJ', 'X') = 3
('DET', '.', 'X') = 3
('X', 'VERB', 'ADP') = 3
('NUM', 'NUM', 'PRT') = 3
('DET', 'PRT', 'ADJ') = 3
('CONJ', 'ADP', 'CONJ') = 4
('ADV', 'VERB', 'X') = 4
('', 'X', '.') = 4
('ADJ', '.', 'X') = 4
('ADJ', 'ADJ', 'NUM') = 4
('PRON', 'NUM', 'ADP') = 4
('ADJ', 'X', 'X') = 4
('ADJ', 'ADJ', 'X') = 4
('X', 'NOUN', 'ADP') = 4
('ADJ', 'ADP', 'X') = 4
('X', 'NOUN', 'X') = 4
('CONJ', 'NUM', 'PRON') = 4
('VERB', 'VERB', 'X') = 4
('ADV', 'PRON', 'PRON') = 4
('DET', 'CONJ', 'ADJ') = 4
('NUM', 'DET', 'ADP') = 4
('ADV', 'DET', 'PRT') = 4
('PRON', 'ADJ', 'ADJ') = 4
('ADV', 'ADJ', 'NUM') = 4
('X', '.', 'PRON') = 4
('VERB', 'ADP', 'X') = 4
('CONJ', 'DET', 'X') = 4
('NUM', 'ADP', 'ADP') = 4
('X', 'X', 'PRT') = 4
('CONJ', 'X', 'X') = 4
('PRT', '.', 'NUM') = 4
('', 'NUM', 'CONJ') = 4
('X', 'ADP', 'NOUN') = 4
('', 'VERB', 'NUM') = 4
('DET', 'CONJ', 'ADV') = 4
('', 'PRON', 'NOUN') = 4
('DET', 'ADP', 'CONJ') = 4
('CONJ', 'PRT', 'NUM') = 4
('DET', 'X', 'ADV') = 4
('.', 'NUM', 'PRT') = 4
('ADJ', 'X', '.') = 4
('ADJ', 'NOUN', 'X') = 4
('DET', 'X', 'CONJ') = 4
('', 'NUM', 'PRON') = 4
('CONJ', 'PRON', 'CONJ') = 4
('PRT', 'VERB', 'X') = 4
('PRON', 'CONJ', '.') = 4
('PRT', 'ADJ', 'DET') = 4
('.', 'NUM', 'DET') = 5
('NOUN', 'CONJ', 'X') = 5
('NOUN', 'PRT', 'NUM') = 5
('X', 'VERB', 'DET') = 5
('NOUN', 'X', '.') = 5
('CONJ', 'NUM', 'PRT') = 5
('DET', 'ADP', 'NUM') = 5
('ADV', 'DET', 'DET') = 5
('', 'ADP', 'CONJ') = 5
('ADJ', 'CONJ', 'NUM') = 5
('PRON', 'ADJ', 'VERB') = 5
('DET', 'NUM', 'ADV') = 5
('PRT', 'NUM', 'VERB') = 5
('ADP', 'X', 'VERB') = 5
('PRT', 'CONJ', 'ADP') = 5
('ADJ', 'DET', 'PRON') = 5
('', 'CONJ', 'NUM') = 5
('ADP', 'NUM', 'PRT') = 5
('ADJ', 'DET', 'ADP') = 5
('NOUN', 'X', 'NOUN') = 5
('ADV', 'PRON', 'PRT') = 5
('ADV', 'NOUN', 'DET') = 5
('X', 'NOUN', 'VERB') = 5
('VERB', 'NUM', 'DET') = 5
('CONJ', 'PRON', 'DET') = 5
('VERB', 'NUM', 'PRT') = 5
('CONJ', 'NUM', 'NUM') = 5
('NUM', 'ADP', 'PRT') = 5
('ADJ', 'X', 'NOUN') = 5
('CONJ', 'NUM', 'DET') = 5
('PRT', 'NUM', '.') = 5
('ADV', 'PRT', 'NUM') = 5
('ADV', 'NOUN', 'PRT') = 5
('CONJ', '.', 'PRON') = 5
('CONJ', 'ADJ', 'PRON') = 5
('PRT', 'NUM', 'CONJ') = 5
('CONJ', 'ADJ', 'NUM') = 5
('NOUN', 'ADJ', 'DET') = 5
('NOUN', 'PRON', 'PRT') = 5
('DET', 'ADP', 'ADV') = 6
('VERB', '.', 'X') = 6
('DET', 'PRON', 'CONJ') = 6
('.', '.', 'X') = 6
('ADP', '.', 'X') = 6
('PRON', 'DET', 'PRT') = 6
('ADJ', 'NUM', 'NUM') = 6
('NUM', 'ADP', 'ADV') = 6
('CONJ', 'PRT', 'PRT') = 6
('ADV', 'CONJ', 'NUM') = 6
('NUM', 'ADV', 'PRON') = 6
('NUM', 'ADJ', 'VERB') = 6
('', 'NUM', 'DET') = 6
('ADV', 'CONJ', '.') = 6
('NUM', 'CONJ', 'PRON') = 6
('DET', 'CONJ', 'VERB') = 6
('PRON', 'DET', 'ADP') = 6
('ADJ', 'NUM', 'PRON') = 6
('ADP', 'CONJ', 'ADJ') = 6
('NUM', 'VERB', 'NUM') = 6
('PRON', 'DET', 'DET') = 6
('PRT', 'DET', 'DET') = 6
('DET', 'DET', 'PRON') = 6
('NUM', 'CONJ', 'ADP') = 6
('CONJ', 'ADJ', 'ADV') = 6
('PRT', 'PRT', 'NOUN') = 6
('', 'X', 'X') = 6
('X', 'X', 'VERB') = 6
('VERB', 'X', '.') = 6
('PRON', '.', 'NUM') = 6
('CONJ', 'NUM', 'ADV') = 6
('ADP', 'PRT', 'CONJ') = 6
('PRON', 'PRT', 'ADJ') = 6
('ADJ', 'PRT', '.') = 6
('DET', 'PRT', 'DET') = 6
('X', 'CONJ', 'DET') = 6
('DET', 'CONJ', 'PRT') = 6
('PRT', 'PRON', '.') = 7
('PRT', 'ADJ', 'ADV') = 7
('ADJ', 'NUM', 'CONJ') = 7
('DET', 'ADP', '.') = 7
('', 'NUM', 'NUM') = 7
('PRON', 'ADV', 'NOUN') = 7
('PRT', 'NOUN', 'ADJ') = 7
('ADV', 'PRT', 'CONJ') = 7
('PRT', 'CONJ', 'NOUN') = 7
('NUM', 'ADP', 'VERB') = 7
('PRON', 'PRT', 'PRT') = 7
('DET', 'PRT', '.') = 7
('X', 'X', 'CONJ') = 7
('.', 'DET', 'X') = 7
('ADP', 'PRT', 'PRT') = 7
('DET', 'PRON', '.') = 7
('ADJ', 'PRON', 'ADV') = 7
('VERB', 'NUM', 'PRON') = 7
('X', 'PRT', 'VERB') = 7
('VERB', 'X', 'X') = 7
('CONJ', 'DET', 'DET') = 7
('ADJ', 'PRT', 'NOUN') = 7
('PRT', 'PRT', 'PRON') = 7
('ADV', 'NUM', 'ADV') = 7
('PRON', 'NOUN', 'PRON') = 7
('ADJ', 'ADJ', 'ADV') = 7
('ADJ', 'ADP', 'CONJ') = 8
('PRON', 'PRON', '.') = 8
('.', 'NUM', 'ADV') = 8
('CONJ', 'PRON', 'ADP') = 8
('.', 'ADP', 'CONJ') = 8
('', 'PRON', 'DET') = 8
('NUM', 'ADV', 'CONJ') = 8
('PRT', 'ADP', '.') = 8
('ADJ', 'CONJ', 'PRT') = 8
('DET', 'ADV', 'PRT') = 8
('PRT', 'NOUN', 'PRON') = 8
('ADJ', 'PRT', 'DET') = 8
('ADP', 'VERB', 'NUM') = 8
('.', 'PRT', 'CONJ') = 8
('PRON', 'PRT', 'NOUN') = 8
('PRT', 'PRT', 'PRT') = 8
('NUM', 'PRT', 'ADP') = 8
('PRON', 'CONJ', 'PRT') = 8
('DET', 'ADP', 'PRT') = 8
('ADP', 'X', 'X') = 8
('ADV', 'NUM', 'VERB') = 8
('DET', 'NOUN', 'X') = 8
('X', 'X', 'ADP') = 8
('NUM', 'ADV', 'DET') = 8
('VERB', 'DET', 'CONJ') = 9
('.', 'PRON', 'PRON') = 9
('NUM', 'NUM', '.') = 9
('ADJ', 'NUM', 'VERB') = 9
('DET', 'PRT', 'ADP') = 9
('ADV', 'ADP', 'CONJ') = 9
('CONJ', 'PRT', 'PRON') = 9
('.', 'PRT', 'NUM') = 9
('X', '.', 'ADP') = 9
('VERB', 'ADJ', 'NUM') = 9
('ADJ', 'PRT', 'ADV') = 9
('PRT', 'ADV', 'NUM') = 9
('CONJ', 'ADJ', 'DET') = 9
('PRON', 'ADJ', 'ADV') = 9
('PRT', 'ADJ', 'ADJ') = 9
('PRT', 'NUM', 'ADP') = 9
('', 'ADJ', 'PRT') = 9
('PRT', 'DET', 'PRT') = 9
('ADP', 'PRT', 'NUM') = 9
('PRT', 'DET', 'ADP') = 9
('PRON', 'DET', 'PRON') = 9
('NUM', 'ADV', 'ADV') = 10
('PRT', 'NOUN', 'DET') = 10
('', 'ADJ', 'ADV') = 10
('ADJ', 'PRON', '.') = 10
('X', '.', 'CONJ') = 10
('.', 'PRON', 'ADP') = 10
('CONJ', 'DET', 'PRT') = 10
('NOUN', 'DET', 'NUM') = 10
('', 'VERB', 'CONJ') = 10
('ADJ', 'NUM', 'ADJ') = 10
('', 'PRON', 'PRON') = 10
('PRT', 'ADJ', 'PRON') = 10
('PRT', 'ADP', 'PRT') = 10
('PRT', 'CONJ', 'PRON') = 10
('NUM', 'ADV', 'ADJ') = 10
('CONJ', 'PRT', 'NOUN') = 10
('ADJ', 'ADV', 'CONJ') = 10
('CONJ', 'PRON', 'PRT') = 10
('DET', 'NUM', 'PRON') = 10
('DET', 'ADP', 'VERB') = 11
('NUM', 'CONJ', 'ADV') = 11
('DET', 'CONJ', 'DET') = 11
('ADV', 'PRON', 'CONJ') = 11
('CONJ', '.', 'DET') = 11
('DET', 'X', 'ADP') = 11
('NUM', 'VERB', '.') = 11
('ADP', 'ADP', '.') = 11
('NOUN', 'PRON', 'ADJ') = 11
('VERB', 'CONJ', 'NUM') = 11
('ADP', 'X', '.') = 11
('DET', '.', 'NUM') = 11
('CONJ', 'NUM', 'CONJ') = 11
('PRON', 'NOUN', 'ADV') = 11
('DET', '.', 'PRT') = 11
('ADV', 'PRT', 'PRT') = 11
('NUM', 'VERB', 'PRT') = 11
('X', '.', 'X') = 11
('NOUN', 'PRT', 'ADJ') = 11
('.', 'PRON', 'ADJ') = 11
('DET', 'ADJ', 'X') = 11
('PRT', 'DET', 'NUM') = 11
('.', 'PRON', 'PRT') = 11
('CONJ', 'ADJ', 'PRT') = 11
('NUM', 'ADV', 'VERB') = 12
('NOUN', 'PRON', 'ADP') = 12
('ADV', 'NUM', 'NUM') = 12
('NUM', 'ADJ', 'CONJ') = 12
('.', 'PRON', 'DET') = 12
('NUM', 'DET', '.') = 12
('.', 'DET', 'PRT') = 12
('DET', 'X', 'NOUN') = 12
('CONJ', 'ADP', '.') = 12
('ADV', 'DET', 'ADP') = 12
('ADV', 'CONJ', 'ADJ') = 12
('ADV', 'NOUN', 'ADJ') = 12
('NOUN', 'NUM', 'DET') = 12
('DET', 'ADV', 'PRON') = 12
('PRT', 'ADJ', 'PRT') = 12
('X', 'VERB', 'ADV') = 12
('ADV', 'NUM', 'CONJ') = 12
('NUM', 'ADJ', '.') = 12
('DET', 'PRT', 'ADV') = 12
('X', 'X', 'NOUN') = 12
('PRON', 'NOUN', 'PRT') = 12
('PRT', 'PRT', 'ADP') = 13
('ADV', 'CONJ', 'PRT') = 13
('NUM', 'DET', 'VERB') = 13
('X', 'VERB', 'VERB') = 13
('', 'PRT', 'PRON') = 13
('DET', 'ADV', 'CONJ') = 13
('PRT', 'PRT', 'DET') = 13
('ADP', '.', 'PRON') = 13
('PRON', 'NUM', 'NOUN') = 13
('', 'DET', 'X') = 13
('NUM', 'NUM', 'ADP') = 13
('PRON', 'DET', '.') = 14
('', 'DET', 'PRT') = 14
('ADJ', 'CONJ', '.') = 14
('ADJ', 'ADV', 'DET') = 14
('PRON', 'PRT', 'CONJ') = 14
('NUM', 'ADJ', 'ADP') = 14
('PRT', 'ADV', 'NOUN') = 14
('ADJ', 'DET', 'VERB') = 14
('VERB', 'NUM', 'ADV') = 14
('PRT', 'CONJ', 'ADV') = 14
('ADP', 'ADJ', 'PRT') = 14
('NUM', 'DET', 'ADJ') = 14
('CONJ', '.', 'PRT') = 15
('ADJ', 'VERB', 'CONJ') = 15
('.', 'ADJ', 'VERB') = 15
('NUM', 'NUM', 'NUM') = 15
('CONJ', 'PRT', 'ADJ') = 15
('PRT', 'NOUN', 'PRT') = 15
('', '', 'X') = 15
('ADJ', 'NUM', 'ADP') = 15
('ADP', 'NUM', 'PRON') = 15
('.', 'PRON', 'CONJ') = 15
('PRT', 'CONJ', 'DET') = 15
('PRT', 'ADJ', 'CONJ') = 15
('.', 'PRON', 'NOUN') = 15
('CONJ', '.', '.') = 15
('ADV', 'NOUN', 'NUM') = 15
('NOUN', 'PRT', 'NOUN') = 15
('ADJ', 'ADV', 'NOUN') = 15
('', 'CONJ', 'ADJ') = 16
('DET', 'NUM', 'CONJ') = 16
('NUM', 'PRT', 'VERB') = 16
('NUM', 'CONJ', 'NOUN') = 16
('PRT', 'PRT', 'ADV') = 16
('ADV', 'PRT', 'NOUN') = 16
('.', 'NUM', 'NUM') = 16
('X', '.', 'VERB') = 16
('NOUN', 'ADP', 'X') = 16
('VERB', 'NUM', 'VERB') = 16
('PRON', 'CONJ', 'ADP') = 16
('DET', 'ADV', 'NOUN') = 16
('PRT', 'DET', 'ADV') = 16
('', 'NUM', 'VERB') = 16
('VERB', 'NUM', 'NUM') = 16
('X', 'ADP', 'DET') = 16
('', 'PRON', 'CONJ') = 16
('DET', 'NUM', 'NUM') = 17
('ADP', 'CONJ', 'VERB') = 17
('X', '.', 'NOUN') = 17
('DET', 'ADV', 'ADP') = 17
('ADJ', 'PRT', 'ADP') = 17
('CONJ', 'ADV', 'CONJ') = 17
('ADP', 'CONJ', 'NOUN') = 17
('', 'DET', 'DET') = 17
('', 'PRT', 'PRT') = 17
('ADP', '.', 'PRT') = 17
('PRT', 'DET', '.') = 17
('', 'NOUN', 'PRT') = 17
('PRON', 'ADP', '.') = 17
('ADP', 'NOUN', 'X') = 17
('.', 'NOUN', 'PRT') = 17
('ADV', 'CONJ', 'NOUN') = 17
('VERB', 'CONJ', '.') = 17
('NOUN', 'PRON', 'PRON') = 17
('ADJ', 'VERB', 'PRON') = 17
('ADV', 'ADV', 'NUM') = 18
('PRT', 'ADV', 'CONJ') = 18
('CONJ', '.', 'ADJ') = 18
('PRON', 'ADJ', 'CONJ') = 18
('ADV', 'PRT', 'ADJ') = 18
('X', 'NOUN', '.') = 18
('ADP', '.', 'NUM') = 18
('PRT', '.', 'ADJ') = 18
('ADV', 'NOUN', 'PRON') = 18
('NUM', 'CONJ', 'VERB') = 19
('DET', 'X', 'VERB') = 19
('PRON', 'DET', 'ADV') = 19
('', 'ADV', 'CONJ') = 19
('.', 'ADJ', 'ADV') = 19
('NOUN', 'ADV', 'NUM') = 19
('NOUN', 'NUM', 'ADJ') = 19
('', 'NOUN', 'PRON') = 19
('ADP', 'CONJ', 'ADV') = 19
('.', 'NUM', 'CONJ') = 19
('DET', 'NUM', '.') = 19
('PRON', 'PRT', 'DET') = 19
('X', '.', 'DET') = 20
('CONJ', 'ADV', 'NUM') = 20
('ADV', 'ADP', '.') = 20
('DET', '.', 'DET') = 20
('PRON', 'NOUN', 'NOUN') = 20
('', '.', 'X') = 20
('NUM', 'ADV', 'ADP') = 20
('ADP', 'ADV', 'CONJ') = 20
('', 'ADJ', 'CONJ') = 20
('VERB', 'PRON', 'NUM') = 20
('VERB', 'DET', 'X') = 20
('ADP', 'CONJ', 'DET') = 20
('ADP', 'ADJ', 'PRON') = 20
('.', 'ADV', 'CONJ') = 20
('NOUN', 'PRON', 'DET') = 21
('NUM', 'VERB', 'ADJ') = 21
('ADP', 'DET', 'CONJ') = 21
('DET', 'X', '.') = 21
('.', 'NUM', 'VERB') = 21
('ADV', '.', 'NUM') = 21
('', 'PRON', '.') = 22
('NUM', 'NUM', 'CONJ') = 22
('ADJ', '.', 'NUM') = 22
('CONJ', 'NOUN', 'NUM') = 22
('NOUN', 'PRON', 'NOUN') = 22
('', 'PRON', 'PRT') = 22
('NUM', 'ADP', 'ADJ') = 22
('ADJ', 'VERB', 'PRT') = 22
('CONJ', 'DET', 'NUM') = 22
('PRT', 'ADP', 'ADP') = 22
('PRT', 'ADV', 'PRT') = 22
('PRT', 'DET', 'PRON') = 23
('ADV', 'DET', 'NUM') = 23
('ADV', 'DET', '.') = 23
('NOUN', '.', 'X') = 23
('CONJ', 'ADP', 'NUM') = 23
('VERB', 'CONJ', 'PRT') = 23
('CONJ', 'ADP', 'ADV') = 23
('NUM', '.', 'PRT') = 23
('', 'ADJ', 'VERB') = 23
('PRON', 'ADV', 'DET') = 23
('DET', 'PRON', 'ADV') = 24
('', 'NOUN', 'DET') = 24
('ADV', 'NUM', 'ADJ') = 24
('PRT', 'NOUN', 'ADV') = 24
('DET', 'DET', 'VERB') = 24
('ADP', 'PRT', 'ADV') = 24
('NUM', 'CONJ', 'DET') = 24
('ADJ', 'ADV', 'PRON') = 24
('NOUN', 'NUM', 'ADV') = 24
('ADP', 'PRT', 'PRON') = 24
('DET', 'PRT', 'NOUN') = 24
('CONJ', 'DET', 'PRON') = 25
('PRON', 'NOUN', 'CONJ') = 25
('ADV', 'DET', 'PRON') = 25
('CONJ', 'NUM', 'ADJ') = 25
('ADP', 'ADJ', 'DET') = 25
('PRON', 'CONJ', 'ADV') = 25
('ADV', 'PRT', 'ADV') = 26
('PRT', 'ADP', 'VERB') = 26
('', 'PRT', 'ADJ') = 26
('NUM', '.', 'ADJ') = 26
('PRT', 'ADV', 'PRON') = 26
('PRT', 'NOUN', 'CONJ') = 26
('PRON', '.', 'ADJ') = 26
('ADJ', 'VERB', 'ADJ') = 26
('NOUN', 'PRT', 'CONJ') = 26
('NOUN', 'DET', 'DET') = 27
('ADJ', 'ADJ', 'ADP') = 27
('ADV', 'CONJ', 'DET') = 27
('.', 'NUM', 'ADJ') = 27
('DET', '.', 'PRON') = 27
('CONJ', 'PRT', '.') = 27
('NUM', 'NOUN', 'NUM') = 27
('NOUN', 'ADJ', 'ADV') = 27
('', 'ADP', '.') = 28
('NOUN', 'X', 'X') = 28
('.', 'ADJ', 'PRT') = 28
('VERB', 'NUM', 'CONJ') = 28
('NOUN', 'PRT', 'DET') = 28
('DET', 'ADP', 'ADJ') = 28
('DET', 'ADJ', 'PRON') = 28
('', '.', '.') = 28
('VERB', 'PRT', 'NUM') = 29
('NOUN', 'DET', 'ADP') = 29
('PRON', 'ADP', 'NUM') = 29
('VERB', '.', 'NUM') = 29
('ADJ', 'ADV', 'ADJ') = 29
('NUM', 'CONJ', 'ADJ') = 29
('ADJ', 'ADJ', 'VERB') = 29
('ADP', 'ADJ', 'ADV') = 29
('ADV', 'NOUN', 'ADV') = 30
('PRON', 'ADP', 'PRT') = 30
('.', 'DET', 'DET') = 30
('CONJ', '.', 'NUM') = 30
('', 'VERB', 'ADJ') = 30
('PRT', 'PRT', '.') = 30
