inside tagger function

getting E values...
underneath|ADP=4.55504775208e-05
pearls|NOUN=8.28020203693e-06
forgive|VERB=7.79805271484e-05
then|ADV=0.0203012679262
anaconda's|NOUN=1.65604040739e-05
smile|NOUN=0.000289807071293
killers|NOUN=8.28020203693e-06
animated|VERB=3.34202259207e-05
conferees|NOUN=8.28020203693e-06
360|NUM=0.00015006002401
devil's-food|NOUN=8.28020203693e-06
prospects|NOUN=8.28020203693e-05
grapevine|NOUN=8.28020203693e-06
Soil|NOUN=8.28020203693e-06
disseminated|VERB=5.57003765345e-05
indignities|NOUN=8.28020203693e-06
ignition|NOUN=2.48406061108e-05
afforded|VERB=3.34202259207e-05
innocent|ADJ=0.000575878900894
penetration|NOUN=3.31208081477e-05
Terg-O-Tometer|NOUN=8.28020203693e-06
saturation|NOUN=2.48406061108e-05
semi-minor|ADJ=2.74228048045e-05
appointments|NOUN=3.31208081477e-05
great-grandson|NOUN=8.28020203693e-06
catastrophically|ADV=3.61232525377e-05
deeps|NOUN=8.28020203693e-06
Einstein|NOUN=1.65604040739e-05
regalia|NOUN=8.28020203693e-06
Lisa|NOUN=3.31208081477e-05
wrists|NOUN=4.14010101846e-05
ejaculated|VERB=2.22801506138e-05
hexametaphosphate|NOUN=8.28020203693e-06
tortured|VERB=3.34202259207e-05
tourists|NOUN=4.96812122216e-05
Madagascar|NOUN=8.28020203693e-06
brutal|ADJ=0.000109691219218
trumpet|NOUN=8.28020203693e-06
concurrence|NOUN=1.65604040739e-05
hellfire|NOUN=8.28020203693e-06
caterer's|NOUN=8.28020203693e-06
rosy|ADJ=0.000109691219218
appreciatively|ADV=7.22465050753e-05
Abraham|NOUN=1.65604040739e-05
Company's|NOUN=8.28020203693e-06
Authority's|NOUN=1.65604040739e-05
Cezanne's|NOUN=8.28020203693e-06
creased|VERB=1.11400753069e-05
walrus|NOUN=8.28020203693e-06
forbears|NOUN=8.28020203693e-06
geese|NOUN=8.28020203693e-06
cares|VERB=3.34202259207e-05
Vastly|ADV=3.61232525377e-05
Absolution|NOUN=8.28020203693e-06
Sandalphon|NOUN=2.48406061108e-05
maniacs|NOUN=8.28020203693e-06
plant|NOUN=0.000579614142585
filched|VERB=1.11400753069e-05
middle-class|NOUN=7.45218183324e-05
antic|ADJ=2.74228048045e-05
Uses|NOUN=8.28020203693e-06
perpetuating|VERB=2.22801506138e-05
conduct|VERB=0.000122540828376
anaerobic|ADJ=2.74228048045e-05
Fortunately|ADV=0.000252862767764
Holderlin|NOUN=8.28020203693e-06
hyalinization|NOUN=8.28020203693e-06
thimble|NOUN=8.28020203693e-06
usage|NOUN=7.45218183324e-05
Fifth|ADJ=0.000191959633631
sorption-desorption|NOUN=8.28020203693e-06
covers|NOUN=9.93624244432e-05
drifted|VERB=5.57003765345e-05
armpits|NOUN=8.28020203693e-06
Williams's|NOUN=8.28020203693e-06
quiet|ADJ=0.000740415729721
transference|NOUN=1.65604040739e-05
cupboards|NOUN=8.28020203693e-06
undergraduate|ADJ=2.74228048045e-05
laxness|NOUN=1.65604040739e-05
Moroccan|NOUN=8.28020203693e-06
reimburses|VERB=1.11400753069e-05
elicited|VERB=2.22801506138e-05
nose|NOUN=0.000389169495736
deciding|VERB=7.79805271484e-05
non-church|NOUN=8.28020203693e-06
1450|NUM=0.00015006002401
operates|VERB=7.79805271484e-05
Eastern|ADJ=0.000164536828827
rotunda|NOUN=8.28020203693e-06
elaboration|NOUN=8.28020203693e-06
alloys|NOUN=2.48406061108e-05
judgments|NOUN=0.000124203030554
rubber|NOUN=6.62416162954e-05
oppressed|VERB=3.34202259207e-05
Cappy's|NOUN=8.28020203693e-06
Tax|NOUN=4.14010101846e-05
Unfriendly|ADJ=2.74228048045e-05
funny|ADV=3.61232525377e-05
can|VERB=0.00759753135931
Preserving|VERB=1.11400753069e-05
Balkan|NOUN=8.28020203693e-06
8-inch|ADJ=2.74228048045e-05
diluted|VERB=4.45603012276e-05
yachting|VERB=2.22801506138e-05
harmony|NOUN=4.14010101846e-05
unconventional|ADJ=2.74228048045e-05
eye-machine|NOUN=8.28020203693e-06
rightly|ADV=3.61232525377e-05
compromise|NOUN=1.65604040739e-05
Italian|NOUN=8.28020203693e-06
feasts|NOUN=8.28020203693e-06
free-holders|NOUN=8.28020203693e-06
fifty-year|ADJ=2.74228048045e-05
microns|NOUN=4.14010101846e-05
rookie|NOUN=8.28020203693e-06
equanimity|NOUN=1.65604040739e-05
louder|ADJ=0.000274228048045
corrupt|ADJ=2.74228048045e-05
antique|NOUN=3.31208081477e-05
Stilts|NOUN=1.65604040739e-05
policeman|NOUN=9.10822224062e-05
obtain|VERB=0.000200521355524
leaky|ADJ=5.4845609609e-05
ink|NOUN=2.48406061108e-05
strike|VERB=0.000111400753069
ochre|NOUN=8.28020203693e-06
Months|NOUN=8.28020203693e-06
infection|NOUN=3.31208081477e-05
Force|NOUN=6.62416162954e-05
44,000|NUM=0.00015006002401
Sprouting|VERB=1.11400753069e-05
16,000|NUM=0.00015006002401
chromatogram|NOUN=8.28020203693e-06
parallel|NOUN=2.48406061108e-05
facilitating|VERB=1.11400753069e-05
extinguished|VERB=1.11400753069e-05
Ferraros|NOUN=2.48406061108e-05
somebody's|NOUN=1.65604040739e-05
rises|VERB=0.000100260677762
framed|VERB=0.000100260677762
break|VERB=0.000267361807366
lifeguards|NOUN=8.28020203693e-06
239|NUM=0.00015006002401
wales|NOUN=1.65604040739e-05
one-twentieth|NOUN=8.28020203693e-06
parapets|NOUN=8.28020203693e-06
secco|X=0.00508474576271
suburbanites|NOUN=8.28020203693e-06
dollars|NOUN=0.000281526869256
Purchasing|VERB=1.11400753069e-05
Wally's|NOUN=8.28020203693e-06
achieve|VERB=0.000222801506138
Jubal|NOUN=7.45218183324e-05
pointing|VERB=0.000122540828376
0.85%|NOUN=1.65604040739e-05
dismissed|VERB=8.91206024553e-05
control|VERB=0.000122540828376
grade-equivalents|NOUN=8.28020203693e-06
motion-pattern|NOUN=8.28020203693e-06
Maxine's|NOUN=8.28020203693e-06
yelp|NOUN=1.65604040739e-05
Weston|NOUN=8.28020203693e-06
multipactor|NOUN=1.65604040739e-05
return|NOUN=0.000480251718142
Stop|VERB=8.91206024553e-05
consequent|ADJ=0.000191959633631
Herry|NOUN=2.48406061108e-05
coverall|NOUN=1.65604040739e-05
housed|VERB=4.45603012276e-05
pedantic|ADJ=2.74228048045e-05
DIOCS|NOUN=5.79614142585e-05
treatments|NOUN=4.14010101846e-05
arising|VERB=7.79805271484e-05
fantasist|NOUN=8.28020203693e-06
articulate|ADJ=5.4845609609e-05
inward|ADV=0.000144493010151
kidnapped|VERB=1.11400753069e-05
wig|NOUN=8.28020203693e-06
unfair|ADJ=0.000164536828827
homozygous|ADJ=0.000109691219218
fencing|NOUN=2.48406061108e-05
dutifully|ADV=3.61232525377e-05
scapegoat|NOUN=8.28020203693e-06
misnamed|VERB=1.11400753069e-05
dump|VERB=2.22801506138e-05
nnuolapertar-it-vuh-karti-birifw-|NOUN=8.28020203693e-06
unlike|ADP=0.00019738540259
decreases|VERB=7.79805271484e-05
obscure|ADJ=0.000164536828827
all-over|ADJ=2.74228048045e-05
clothbound|ADJ=2.74228048045e-05
natch|ADV=3.61232525377e-05
expiating|VERB=1.11400753069e-05
overhead|NOUN=2.48406061108e-05
performing|VERB=3.34202259207e-05
Since|ADP=0.00138169781813
Conferences|NOUN=1.65604040739e-05
shearing|VERB=4.45603012276e-05
French|NOUN=4.96812122216e-05
Parry|NOUN=8.28020203693e-06
Whitcomb|NOUN=8.28020203693e-06
molds|NOUN=2.48406061108e-05
communications|NOUN=9.10822224062e-05
gristmill|NOUN=8.28020203693e-06
chivying|VERB=1.11400753069e-05
Mad|ADJ=5.4845609609e-05
psychotherapy|NOUN=2.48406061108e-05
synchronous|ADJ=2.74228048045e-05
pinpoint|NOUN=8.28020203693e-06
&|CONJ=0.00348726025086
airspeed|NOUN=8.28020203693e-06
prostitutes|NOUN=8.28020203693e-06
south|NOUN=0.000190444646849
cropping|VERB=1.11400753069e-05
intramural|ADJ=5.4845609609e-05
stray|VERB=2.22801506138e-05
sacrifice|NOUN=4.96812122216e-05
evil|NOUN=0.00010764262648
Evidently|ADV=7.22465050753e-05
eighty-sixth|ADJ=0.000137114024022
Grace|NOUN=2.48406061108e-05
sweatshirt|NOUN=1.65604040739e-05
1865|NUM=0.000300120048019
repudiated|VERB=2.22801506138e-05
efficiently|ADV=0.000216739515226
engagement|NOUN=6.62416162954e-05
sweltering|VERB=1.11400753069e-05
deduction|NOUN=4.96812122216e-05
Torah|NOUN=8.28020203693e-06
November-December|NOUN=8.28020203693e-06
quadric|NOUN=8.28020203693e-06
Andrews|NOUN=8.28020203693e-06
careers|NOUN=4.14010101846e-05
colonel's|NOUN=8.28020203693e-06
penance|NOUN=1.65604040739e-05
writhing|VERB=4.45603012276e-05
formal|ADJ=0.000493610486481
dives|NOUN=2.48406061108e-05
vellum|NOUN=8.28020203693e-06
spores|NOUN=1.65604040739e-05
stations|NOUN=0.000422290303883
exert|VERB=5.57003765345e-05
Efforts|NOUN=1.65604040739e-05
deadliest|ADJ=2.74228048045e-05
Mister|NOUN=4.96812122216e-05
Confession|NOUN=8.28020203693e-06
three-year|ADJ=5.4845609609e-05
bucking|VERB=2.22801506138e-05
justification|NOUN=2.48406061108e-05
Maritime|ADJ=8.22684144134e-05
lust|NOUN=8.28020203693e-06
hopeless|ADJ=0.000109691219218
affect|VERB=0.000167101129604
Exhibition|NOUN=8.28020203693e-06
grievance|NOUN=2.48406061108e-05
elimination|NOUN=5.79614142585e-05
Syllables|NOUN=1.65604040739e-05
coaxial|ADJ=2.74228048045e-05
dismissal|NOUN=8.28020203693e-06
While|ADP=0.000850275580389
Unquestionably|ADV=3.61232525377e-05
Zeros|NOUN=8.28020203693e-06
misdirectors|NOUN=8.28020203693e-06
maggoty|ADJ=2.74228048045e-05
speed|NOUN=0.000256686263145
Textron|NOUN=8.28020203693e-06
flex|NOUN=8.28020203693e-06
quantum|NOUN=4.14010101846e-05
lawmaking|NOUN=8.28020203693e-06
Sands|NOUN=1.65604040739e-05
Description|NOUN=8.28020203693e-06
matrimony|NOUN=8.28020203693e-06
k|NOUN=8.28020203693e-06
muffins|NOUN=8.28020203693e-06
interpolation|NOUN=8.28020203693e-06
matched|VERB=0.000122540828376
Shawnee|NOUN=8.28020203693e-06
playback|NOUN=8.28020203693e-06
magically|ADV=3.61232525377e-05
orphan|NOUN=8.28020203693e-06
Wechsler|NOUN=8.28020203693e-06
iron|ADJ=2.74228048045e-05
traffic|NOUN=0.00021528525296
includes|VERB=0.000200521355524
consistent|ADJ=0.000466187681676
Jew|NOUN=7.45218183324e-05
chemists|NOUN=1.65604040739e-05
States-Yugoslav|NOUN=8.28020203693e-06
Waal's|NOUN=8.28020203693e-06
arbitrary|ADJ=0.000356496462458
Say|VERB=4.45603012276e-05
1951|NUM=0.00180072028812
lead|VERB=0.000267361807366
haunting|VERB=2.22801506138e-05
Cate's|NOUN=1.65604040739e-05
Eh|PRT=0.000192036871079
Arp|NOUN=2.48406061108e-05
Tennessee|NOUN=4.96812122216e-05
danger|NOUN=0.000165604040739
swimsuit|NOUN=8.28020203693e-06
Jackie's|NOUN=8.28020203693e-06
gem|NOUN=1.65604040739e-05
confessed|VERB=2.22801506138e-05
hr|NOUN=5.79614142585e-05
morphologic|ADJ=2.74228048045e-05
papery|ADJ=2.74228048045e-05
bag|VERB=1.11400753069e-05
bandwidth|NOUN=8.28020203693e-06
dreamy|ADJ=8.22684144134e-05
absorb|VERB=6.68404518415e-05
pitched|VERB=4.45603012276e-05
confronting|VERB=1.11400753069e-05
8th|ADJ=2.74228048045e-05
Liberated|VERB=2.22801506138e-05
outlaws|NOUN=8.28020203693e-06
gained|VERB=0.000100260677762
Gables|NOUN=8.28020203693e-06
Spontaneity|NOUN=8.28020203693e-06
Washed|VERB=1.11400753069e-05
combinations|NOUN=5.79614142585e-05
abstractions|NOUN=8.28020203693e-06
characteristics|NOUN=0.000240125859071
spiral|VERB=1.11400753069e-05
Honor|NOUN=8.28020203693e-06
shadow|NOUN=0.000173884242776
Opportunity|NOUN=8.28020203693e-06
condemning|VERB=1.11400753069e-05
connotations|NOUN=8.28020203693e-06
Cat|NOUN=8.28020203693e-06
954|NUM=0.00015006002401
veining|VERB=2.22801506138e-05
croaked|VERB=1.11400753069e-05
captives|NOUN=8.28020203693e-06
constellations|NOUN=8.28020203693e-06
O|X=0.00169491525424
publishing|VERB=2.22801506138e-05
Deputy|NOUN=2.48406061108e-05
freight|NOUN=0.000149043636665
o'|VERB=1.11400753069e-05
Utah|NOUN=2.48406061108e-05
glances|NOUN=2.48406061108e-05
scatters|VERB=1.11400753069e-05
Holy|NOUN=8.28020203693e-06
Psithyrus|NOUN=4.14010101846e-05
Foods|NOUN=8.28020203693e-06
front|NOUN=0.000712097375176
ceiling|NOUN=0.000165604040739
groundwork|NOUN=8.28020203693e-06
History|NOUN=2.48406061108e-05
Tchalo|X=0.00169491525424
walkin'|VERB=1.11400753069e-05
attacking|VERB=2.22801506138e-05
polynomials|NOUN=8.28020203693e-05
pair|NOUN=0.00021528525296
Nick|NOUN=0.000190444646849
spine|NOUN=2.48406061108e-05
housekeeping|NOUN=2.48406061108e-05
dates|VERB=1.11400753069e-05
amazement|NOUN=4.96812122216e-05
actor|NOUN=8.28020203693e-05
anythin|NOUN=8.28020203693e-06
grief-stricken|ADJ=5.4845609609e-05
monastic|ADJ=0.000137114024022
eruption|NOUN=8.28020203693e-06
5-6|NUM=0.00015006002401
girdle|NOUN=1.65604040739e-05
officially|ADV=0.000216739515226
dog's|NOUN=1.65604040739e-05
ooze|VERB=1.11400753069e-05
Cape|NOUN=3.31208081477e-05
isotonic|ADJ=0.000109691219218
Sewer|NOUN=8.28020203693e-06
42|NUM=0.00135054021609
ordering|VERB=1.11400753069e-05
statutes|NOUN=1.65604040739e-05
Henh|PRT=6.40122903597e-05
jingled|VERB=2.22801506138e-05
keeping|NOUN=8.28020203693e-06
tapering|VERB=2.22801506138e-05
tablet|NOUN=8.28020203693e-06
fail|VERB=0.000211661430831
sours|VERB=1.11400753069e-05
rampage|NOUN=8.28020203693e-06
oral|ADJ=0.000521033291285
limitless|ADJ=2.74228048045e-05
broad|ADJ=0.00126144902101
Graphic|ADJ=2.74228048045e-05
fragments|NOUN=4.14010101846e-05
hallways|NOUN=8.28020203693e-06
rinse|NOUN=4.14010101846e-05
inappropriate|ADJ=5.4845609609e-05
non-writers|NOUN=8.28020203693e-06
shuffled|VERB=2.22801506138e-05
prevents|VERB=3.34202259207e-05
lids|NOUN=2.48406061108e-05
centralizing|VERB=1.11400753069e-05
microseconds|NOUN=3.31208081477e-05
success|NOUN=0.000380889293699
casual|ADJ=0.000356496462458
pivoting|VERB=1.11400753069e-05
cites|VERB=5.57003765345e-05
wrapper|NOUN=1.65604040739e-05
optimistic|ADJ=0.000109691219218
upside|ADV=0.000144493010151
calculations|NOUN=5.79614142585e-05
Dearly|ADV=3.61232525377e-05
Lolotte's|NOUN=8.28020203693e-06
manufacture|NOUN=6.62416162954e-05
mined|VERB=2.22801506138e-05
reagents|NOUN=2.48406061108e-05
Estella|NOUN=3.31208081477e-05
inhabitants|NOUN=6.62416162954e-05
pseudophloem|NOUN=4.96812122216e-05
dormitories|NOUN=8.28020203693e-06
tenants|NOUN=6.62416162954e-05
genteel|ADJ=5.4845609609e-05
Troubled|VERB=1.11400753069e-05
disadvantages|NOUN=4.14010101846e-05
hideout|NOUN=8.28020203693e-06
overheated|VERB=1.11400753069e-05
Mark|NOUN=0.000140763434628
Mackey|NOUN=1.65604040739e-05
astral|ADJ=2.74228048045e-05
exports|NOUN=8.28020203693e-06
soybeans|NOUN=8.28020203693e-06
church|NOUN=0.000662416162954
humanities|NOUN=1.65604040739e-05
funeral|NOUN=0.00010764262648
mainly|ADV=0.000433479030452
Galahad|NOUN=8.28020203693e-06
Arthur|NOUN=0.000165604040739
going-over|NOUN=8.28020203693e-06
broadening|VERB=4.45603012276e-05
North|X=0.00338983050847
counteract|VERB=3.34202259207e-05
alienated|VERB=2.22801506138e-05
hatchway|NOUN=1.65604040739e-05
riding|VERB=0.000378762560435
canisters|NOUN=8.28020203693e-06
jacket|NOUN=0.000198724848886
Preliminary|ADJ=8.22684144134e-05
Cost|NOUN=3.31208081477e-05
endurable|ADJ=2.74228048045e-05
barley|NOUN=8.28020203693e-06
Momoyama|NOUN=2.48406061108e-05
scientific|ADJ=0.000850106948939
labyrinth|NOUN=8.28020203693e-06
trembles|VERB=1.11400753069e-05
Knife|NOUN=1.65604040739e-05
port|NOUN=2.48406061108e-05
serious|ADJ=0.000959798168157
wrestle|VERB=1.11400753069e-05
Sixty|NUM=0.000300120048019
hurriedly|ADV=3.61232525377e-05
Syrian|ADJ=2.74228048045e-05
connection|NOUN=0.000281526869256
hummed|VERB=3.34202259207e-05
sickish|ADJ=2.74228048045e-05
Gabrielle|NOUN=8.28020203693e-06
instigator|NOUN=8.28020203693e-06
arrest|NOUN=4.96812122216e-05
Concord|NOUN=1.65604040739e-05
cavin|VERB=1.11400753069e-05
fluid-filled|ADJ=2.74228048045e-05
Atta|PRT=6.40122903597e-05
unassisted|ADJ=2.74228048045e-05
specific|ADJ=0.00164536828827
bumblebees|NOUN=6.62416162954e-05
traced|VERB=3.34202259207e-05
1888|NUM=0.00015006002401
Prosser|NOUN=8.28020203693e-06
drive|VERB=0.000245081656752
scrumptious|ADJ=2.74228048045e-05
savored|VERB=2.22801506138e-05
begun|VERB=0.000211661430831
4-d|NUM=0.00015006002401
abounds|VERB=1.11400753069e-05
administered|VERB=0.000100260677762
Hong|NOUN=2.48406061108e-05
cobblestones|NOUN=8.28020203693e-06
repugnance|NOUN=8.28020203693e-06
strewn|VERB=2.22801506138e-05
traversing|VERB=1.11400753069e-05
20-to-1|NUM=0.000300120048019
gray-haired|ADJ=5.4845609609e-05
prophecy|NOUN=8.28020203693e-06
line-fragments|NOUN=8.28020203693e-06
enlargement|NOUN=1.65604040739e-05
T-34|NOUN=1.65604040739e-05
swung|VERB=0.000401042711049
broody|ADJ=2.74228048045e-05
Cook's|NOUN=8.28020203693e-06
khaki|ADJ=2.74228048045e-05
single|ADJ=0.00235836121318
renaturation|NOUN=8.28020203693e-06
Leaving|VERB=6.68404518415e-05
brochure|NOUN=8.28020203693e-06
Enzymatic|ADJ=2.74228048045e-05
harvest|NOUN=2.48406061108e-05
constricting|ADJ=2.74228048045e-05
playing|VERB=0.0003230621839
Fetch|VERB=1.11400753069e-05
regarded|VERB=0.000256221732059
3.0|NUM=0.00015006002401
skirmishing|VERB=1.11400753069e-05
workingmen|NOUN=8.28020203693e-06
snake-like|ADJ=2.74228048045e-05
therefor|ADV=3.61232525377e-05
Walking|VERB=2.22801506138e-05
days'|NOUN=8.28020203693e-06
comer|NOUN=8.28020203693e-06
Offenbach's|NOUN=8.28020203693e-06
births|NOUN=2.48406061108e-05
Gonna|VERB=1.11400753069e-05
embouchure|NOUN=8.28020203693e-06
bars|NOUN=5.79614142585e-05
day-watch|NOUN=1.65604040739e-05
announcements|NOUN=8.28020203693e-06
baskets|NOUN=1.65604040739e-05
insulation|NOUN=2.48406061108e-05
follow-up|NOUN=1.65604040739e-05
Property|NOUN=8.28020203693e-06
obligation|NOUN=4.14010101846e-05
pallor|NOUN=1.65604040739e-05
kidney|NOUN=3.31208081477e-05
Il|X=0.00169491525424
Avenue|NOUN=6.62416162954e-05
draws|VERB=6.68404518415e-05
stranger|NOUN=0.000248406061108
80%|NOUN=1.65604040739e-05
desegregation-from-court-order|NOUN=8.28020203693e-06
focus|VERB=8.91206024553e-05
height|NOUN=9.93624244432e-05
facsiport|NOUN=8.28020203693e-06
knit|VERB=2.22801506138e-05
earnestness|NOUN=8.28020203693e-06
IBM|NOUN=4.14010101846e-05
calibrating|VERB=1.11400753069e-05
reconstruct|VERB=2.22801506138e-05
induced|VERB=0.000100260677762
Functionalism|NOUN=8.28020203693e-06
unhook|VERB=1.11400753069e-05
memory-picture|NOUN=8.28020203693e-06
demeanor|NOUN=1.65604040739e-05
historic|ADJ=0.000109691219218
unteach|VERB=1.11400753069e-05
Parioli|NOUN=8.28020203693e-06
faith|NOUN=0.000190444646849
Corollary|NOUN=1.65604040739e-05
proportionally|ADV=3.61232525377e-05
fishmongers|NOUN=8.28020203693e-06
U.S.S.R.|NOUN=4.14010101846e-05
Chesapeake|NOUN=8.28020203693e-06
clubbed|VERB=2.22801506138e-05
crimes|NOUN=4.14010101846e-05
producers|NOUN=6.62416162954e-05
bathed|VERB=4.45603012276e-05
eliminated|VERB=0.000133680903683
skin-perceptiveness|NOUN=8.28020203693e-06
interdependent|ADJ=2.74228048045e-05
violate|VERB=3.34202259207e-05
collages|NOUN=1.65604040739e-05
Magdalene|NOUN=8.28020203693e-06
Selection|NOUN=8.28020203693e-06
Indigestion|NOUN=8.28020203693e-06
adage|NOUN=8.28020203693e-06
clinging|VERB=4.45603012276e-05
leveling|VERB=0.000100260677762
Dilys|NOUN=8.28020203693e-06
region|NOUN=0.000314647677403
wallpapers|NOUN=8.28020203693e-06
ruled|VERB=0.000133680903683
snoring|VERB=4.45603012276e-05
Radiation|NOUN=4.96812122216e-05
hates|VERB=1.11400753069e-05
unmarried|ADJ=8.22684144134e-05
operable|ADJ=2.74228048045e-05
gradients|NOUN=4.14010101846e-05
birdbath|NOUN=8.28020203693e-06
cat|NOUN=0.000140763434628
directives|NOUN=2.48406061108e-05
pant-legs|NOUN=8.28020203693e-06
aversion|NOUN=1.65604040739e-05
guidance|NOUN=0.000157323838702
magnifying|VERB=3.34202259207e-05
ice|NOUN=0.000182164444812
performer|NOUN=1.65604040739e-05
wings|NOUN=0.000149043636665
municipality's|NOUN=8.28020203693e-06
Aerobacter|NOUN=8.28020203693e-06
gentle|ADJ=0.000301650852849
harassing|VERB=1.11400753069e-05
tensely|ADV=0.000108369757613
depths|NOUN=8.28020203693e-05
interacting|VERB=1.11400753069e-05
residue|NOUN=3.31208081477e-05
striking|ADJ=0.000329073657654
robbers|NOUN=8.28020203693e-06
amanuensis|NOUN=8.28020203693e-06
things|NOUN=0.00144075515443
Hausman|NOUN=8.28020203693e-06
Keep|VERB=6.68404518415e-05
sandwich|NOUN=4.96812122216e-05
transcending|VERB=2.22801506138e-05
nomination|NOUN=8.28020203693e-06
virtually|ADV=0.000903081313441
suddenness|NOUN=8.28020203693e-06
committees|NOUN=6.62416162954e-05
upper-middle-class|NOUN=3.31208081477e-05
floater|NOUN=8.28020203693e-06
key|NOUN=0.00021528525296
helium-4|NOUN=1.65604040739e-05
Doug|NOUN=8.28020203693e-06
alphabetical|ADJ=5.4845609609e-05
flawless|ADJ=2.74228048045e-05
Walt|NOUN=1.65604040739e-05
Worcester|NOUN=8.28020203693e-06
vaquero|NOUN=8.28020203693e-06
father|VERB=1.11400753069e-05
shoestring|NOUN=8.28020203693e-06
comforting|VERB=6.68404518415e-05
whipsawed|VERB=1.11400753069e-05
tipped|VERB=3.34202259207e-05
grip|NOUN=9.93624244432e-05
Herbert|NOUN=4.14010101846e-05
hopscotch|NOUN=8.28020203693e-06
Carbon|NOUN=1.65604040739e-05
availability|NOUN=0.000132483232591
conjured|VERB=2.22801506138e-05
relaxes|VERB=2.22801506138e-05
Tenth|ADJ=2.74228048045e-05
trustees|NOUN=4.96812122216e-05
echelon|NOUN=1.65604040739e-05
understanding|VERB=0.000189381280217
Paris|NOUN=0.000182164444812
provisional|ADJ=2.74228048045e-05
updated|VERB=2.22801506138e-05
legacy|NOUN=8.28020203693e-06
infections|NOUN=2.48406061108e-05
squirted|VERB=1.11400753069e-05
metaphorical|ADJ=2.74228048045e-05
autonavigator|NOUN=8.28020203693e-06
Rector|NOUN=0.000240125859071
1866|NUM=0.00015006002401
losing|VERB=6.68404518415e-05
admissible|ADJ=0.000219382438436
elegance|NOUN=8.28020203693e-06
consistently|ADV=0.000288986020301
1516|NUM=0.00015006002401
According|ADP=0.000212568895097
accusations|NOUN=1.65604040739e-05
appeared|VERB=0.000746385045563
preside|VERB=1.11400753069e-05
predicator|NOUN=1.65604040739e-05
Pool|NOUN=8.28020203693e-06
traitors|NOUN=2.48406061108e-05
Howsabout|ADV=3.61232525377e-05
Feds|NOUN=8.28020203693e-06
rendition|NOUN=8.28020203693e-06
action-packed|ADJ=2.74228048045e-05
pinpointing|VERB=1.11400753069e-05
spilled|VERB=3.34202259207e-05
Pam's|NOUN=8.28020203693e-06
vessel|NOUN=6.62416162954e-05
terminates|VERB=1.11400753069e-05
industry|NOUN=0.000645855758881
ruts|NOUN=8.28020203693e-06
hamburgers|NOUN=2.48406061108e-05
industrialized|VERB=3.34202259207e-05
re-export|NOUN=8.28020203693e-06
ninth|ADJ=0.000137114024022
strands|NOUN=1.65604040739e-05
salad|NOUN=1.65604040739e-05
machinery|NOUN=0.00010764262648
Swahili|NOUN=8.28020203693e-06
patting|VERB=4.45603012276e-05
$7,000,000|NOUN=8.28020203693e-06
surveying|VERB=7.79805271484e-05
confirmation|NOUN=4.14010101846e-05
impaired|VERB=4.45603012276e-05
appeal|VERB=1.11400753069e-05
satisfying|VERB=3.34202259207e-05
scale|NOUN=0.000289807071293
'cept|ADP=1.51834925069e-05
growled|VERB=4.45603012276e-05
investigators|NOUN=8.28020203693e-05
Bestimmung|X=0.00169491525424
